127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/reload?path=/PE_PRJ301 HTTP/1.1" 200 67
127.0.0.1 - - [16/Dec/2023:00:07:07 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:07:07 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:08:13 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:08:13 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:08:13 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:08:13 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:08:13 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:08:13 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:08:13 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:08:13 +0700] "GET /manager/text/stop?path=/PE_PRJ301 HTTP/1.1" 200 66
